Recall@10,MAP@10,MIUF@10,Siren@10,PopInt@10,RecallNoPop@10,model,B,K,K1
0.14554335340126442,0.05933746852480153,4.299070885612279,0.00011899975035361287,0.2081647087851082,0.05870765615701716,bm25,0.25,50,0.5
0.11969781155192667,0.04535723920462303,4.929836234711476,0.00017928024870068435,0.13130453853851115,0.06333499506440139,bm25,0.25,50,1.25
0.10435403203522124,0.03884586808966571,5.294267662504848,0.00021017201583072256,0.09950707990075805,0.06282578151051402,bm25,0.25,50,2.5
0.09546746380868999,0.035281323648061885,5.529935637396209,0.00022816243854509544,0.08060449878689017,0.06254121490660017,bm25,0.25,50,5.0
0.10511438332662204,0.039210756906711726,5.272300154953779,0.0002092549182131075,0.10041478760297724,0.06299987772609648,bm25,0.5,50,0.5
0.07727836235734226,0.028579725863960438,6.121813205566067,0.00027094026821828065,0.04810467013008376,0.06022428697058475,bm25,0.5,50,1.25
0.06565961384698478,0.024689693739622414,6.594118709857699,0.00029922943579831495,0.03267172014858882,0.056359325498994084,bm25,0.5,50,2.5
0.058302137560993464,0.022358582683705525,6.908030163267591,0.00031500249463854376,0.02417419434430387,0.0536163411932107,bm25,0.5,50,5.0
0.08096331468058048,0.029968906114166242,5.996567767574048,0.00026364489469487786,0.054754979233204944,0.060886456015997174,bm25,0.75,50,0.5
0.05651737185884763,0.021833610478807282,6.995124096661167,0.0003203699561387596,0.022390580236590678,0.052873365307487416,bm25,0.75,50,1.25
0.04646358161348018,0.018789346986639935,7.589294367982012,0.00034167660623885855,0.01203733910874124,0.047159364867815884,bm25,0.75,50,2.5
0.039789192155973034,0.016710908417351306,8.044084008543297,0.000352514014264612,0.007006977094841882,0.04317899803324231,bm25,0.75,50,5.0
0.06595057569963476,0.02480633050153259,6.601036872807423,0.0003021571269169302,0.032909407426699386,0.05679752241782488,bm25,1.0,50,0.5
0.043522549535384834,0.01784823187109232,7.809692821156383,0.00034831156145822845,0.009632503118446122,0.04535497823518188,bm25,1.0,50,1.25
0.03238539026587943,0.014448049447344189,8.75734270017626,0.00035204849754094035,0.002756843447150905,0.0375816755837234,bm25,1.0,50,2.5
0.02528986058250585,0.012134349903843203,9.737034330506352,0.0003272773268239406,0.0010321713980233848,0.03054934013752411,bm25,1.0,50,5.0
